# Hymmnos（塔语）词典 · 共881条 · 来源 github.com/KevinOctavianus/hymmno（HymmnoLexicon 0.3）
# 列：词	词性	英文释义	原作例句	方言（Unknown [Unofficial] = 同好补充的非官方词，优先用官方词）
# 用法：grep -i "wind" 设定/参考/hymmnos词典.tsv   （按英文释义查词）
windiling	n.	spirit of the wind		Unknown [Unofficial]
wirtamarls	adjective, noun	tranquil, tranquility		Unknown [Unofficial]
wis	v.	be, is	Faura sonwe presia yorr wis yehah  —EXEC_HARMONIOUS_FUSION/.	Metafalss Note
wol	E.S.II	fervor, rush	Rrha wol ra eta meso faura anw dornpica  —EXEC_HIBERNATION/.	Central Standard Note
won	conj.	above (on the surface) of ~ (particle to indicate current condition) (Note	Equivalent to the English "on"): Hyear Ma num ra gyusya yorr dewee won clamour yor  —EXEC_DESPEDIA/.	Central Standard Note
x.	E.v.	(subject marker)	x. rre omness a.u.k. zodaw ess rudje noglle doodu  —EXEC_over.METHOD_SUBLIMATION/.~lamenza	New Testament of Pastalie
x.y.n.	E.v.	hurt, injure	s.l.y. yor sev x. rre yorr g.v.w. en x.y.n.  —METHOD_METAFALICA/.	Pastalie [Unofficial]
xava	n.	wound		Unknown [Unofficial]
xe	conj./v.	please (used before a verb), bestow, grant, receive (Note	Used when someone wants to state a feeling of great respect for the tower. Example: xe khal (please, protect me) It's not a daily used word)	Cluster Note
xel	conj.	since ~ (time)	celetille clalliss xel marta pom mea  —EXEC_HARMONIOUS_FUSION/.	Unknown [Unofficial]
xest	v.	change, transform	Rrha ki ra nha-HYMMNOS1x01 >> pat mea en xest SOL=MARTA > A2  —EXEC_SOL=FAGE/.	Cult Ciel Note
xevxl	n.	despair	x. rre qejyu ssvid hiralg ag xevxl  —METHOD_METAFALICA/.	Unknown [Unofficial]
xl	conj.	ever since ~	Wee yea ra wael dauan bexm xl yor cexm mea  —EXEC_VIENA/.	Central Standard Note
xorg	adj.	proud		Unknown [Unofficial]
y.m.q.	v.	bear fruit, ripen		New Testament of Pastalie
y.y.	v.	heal, cure	x. sorr a.u.k. zess y.y. Ahiew_ayulsa/.  —METHOD_IMPLANTA/.	New Testament of Pastalie
y.z.t.	v.	wish, desire, request	y.z.t. za rre vega f.s. t.k.d. ag zz t.k.d. tie hartes yor  —METHOD_METAFALICA/.	New Testament of Pastalie
yaha	v.	laugh, smile	Wee yea ra wael nuih bexm xl yor yaha tes mea  —EXEC_VIENA/.	Central Standard Note
yanje	adv.	forever, eternally	c.z. yor li yanje  —jy ra cc ci ce je xa jy r acc ci ce je xa rcc jy ra cc ar foul	Central Standard Note
yant	E.s.II	frightened, scared	Was yant gagis chs hymmnos mea  —EXEC_LINKER	Metafalss Note
yanwe	v.	treat with care	en melenas oure en yanwe oure sor  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
yanyaue	adj.	important, valuable	Ridalnae sol ciel yanyaue manaf  —EXEC_HARMONIOUS	Metafalss Note
yart	v.	meet (by chance), come across		Central Standard Note
yaserwe	v.	relax, feel at ease	Was yea ra wael yorr yaserwe  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
yasra	adj.	gentle, kind, calm, quiet	en whai pauwel gaunji yasra whou na cenjue sor tou zuieg  —EXEC_CHRONICLE KEY	Metafalss Note
yassa	v.	clear, achieve		Central Standard Note
yatse	v.	give (positive emotions)		Central Standard Note
yea	E.s.II	happy	Wee yea ra reen harton yos warma hynne reen yos warma hynne  —Eternally Bonded	Central Standard Note
yeal	n.	line, beam, wire, string	Was yea ra hymme mea ks maya gyen yeal  —Hoshiyomi ~HOSHIYOMI~	Cult Ciel Note
yeeel	adj.	far, distant	Hierle faura murfan anw yeeel ciel  —EXEC_VIENA/.	Cult Ciel Note
yehah	n.	happiness, good fortune	Was yea ra crushue anw yehah dornpica rhaplanca  —EXEC_HIBERNATION/.	Central Standard Note
yehar	v.	deallocate, unleash, release	tasyue yorr yehar elle fandel hierle  —EXEC_HARMONIOUS_FUSION/.	Metafalss Note
yerwe	v.	chirp, bark, purr	Faura yerwe murfan anw sol ciel  —EXEC_HARMONIOUS	Metafalss Note
yesse	verb	rear, raise		Unknown [Unofficial]
yetere	adv.	if so, in that case		Central Standard Note
yor	n.	you (object)	Rrha ki ra tie yor ini en nha  —Singing Hill	Central Standard Note
yora	n.	you (plural object)	wee paks ga faf yora accrroad mea  —EXEC_SPHILIA/.	Central Standard Note
yorr	n.	you (subject)	Whai yorr re heighte so  —EXEC_SPHILIA/.	Central Standard Note
yorra	n.	you (plural subject)	ween shellan yorra accroad mea sarla oz enne  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
yos	adv.	your, yours	aiph yos delij zuieg en nedle eterne falfa  —EXEC_CHRONICLE KEY	Central Standard Note
yosyua	v.	comfort, console, amuse	Tasyue anw gyuss en yosyua yor  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
yuez	adv.	mutually, reciprocally	Was yea ra chs yuez en yanje yanje pitod yor  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
yulun	verb	dissolve, homogenise		Unknown [Unofficial]
yura	n.	balance of power		Central Standard Note
z.z.x.	v.	(to) despair	x. sorr m.n.g. dn z.z.x.  —METHOD_REPLEKIA/.	New Testament of Pastalie
zaam	noun	sea, ocean		Unknown [Unofficial]
zadius	n.	hatred	zadius guatrz ruinie  —Colors~SEN~Will This Flower Bloom?	Metafalss Note
zaffur	v.	struggle, oppose	Ma num ra tictim yorr wis kneet hueaf van yorr zaffur  —EXEC_DESPEDIA/.	Unknown [Unofficial]
zahha	v.	advance, improve (Note	Used for the marching of a great number of people, such as knight company. Has heroic connotations).	Cult Ciel Note
zalez	n.	waterfall		New Testament of Pastalie
zarle	v.	fall (rain), downpour		Central Standard Note
zarnn	n.	storm, tempest		Unknown [Unofficial]
zash	adj./n.	painful, pain, agony	Wee yea ra yehar anw zash  —EXEC_VIENA/.	Central Standard Note
zassyen	v.	swim	chs hasyu en zassyen der sielp  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
zauve	n./adj.	clever, sagacious		Cult Ciel Note
zeeth	n.	chain, chains	Ween colgen fayra Race mea wis gigeadeth zeeth tie yor  —EXEC_DESPEDIA/.	Central Standard Note
zenva	v.	jump over, clear, transcend		Central Standard Note
zess	adv.	like ~	ag a.u.k. zess x.y.n. mea  —METHOD_METAFALICA/.	New Testament of Pastalie
zethpa	v.	cut, slash	Rrha paks ra chs viega zethpa yor  —EXEC_DESPEDIA/.	Central Standard Note
zetsfy	n.	cruelty, harshness		Cult Ciel Note
zixxa	noun	attitude, disposition, spirit		Unknown [Unofficial]
zodal	n./v.	death, die, of death		Metafalss Note
zodaw	n.	death	x. rre omness a.u.k. zodaw ess rudje noglle doodu  —EXEC_over.METHOD_SUBLIMATION/.~lamenza	Metafalss Note
zuieg	n./adj.	(political) power, authority, influence	en whai pauwel gaunji yasra whou na cenjue sor tou zuieg  —EXEC_CHRONICLE KEY	Alpha Note (EOLIA)
zweie	E.s.II	hiding determination in the heart, sincerity, earnestness	vine en vine zweie arsye yor  —The Heart Speaks	Central Standard Note
zwihander	n./v.	success, win, triumph, victory		Central Standard Note
zz	adv.	negation, denial, un-	y.z.t. za rre vega f.s. t.k.d. ag zz t.k.d. tie hartes yor  —METHOD_METAFALICA/.	New Testament of Pastalie
